timestamp,open,high,low,close,volume
1788677160000,79802.01000000,79802.01000000,79798.01000000,79798.01000000,0.15129000
1788677220000,79798.01000000,79798.01000000,79798.01000000,79798.01000000,0.00000000
1788677280000,79790.99000000,79790.99000000,79726.21000000,79726.21000000,0.15770000
1788677340000,79726.21000000,79726.21000000,79726.21000000,79726.21000000,0.00000000
1788677400000,79755.94000000,79755.94000000,79755.94000000,79755.94000000,0.00017000
1788677460000,79769.98000000,79769.98000000,79769.98000000,79769.98000000,0.00062000
1788677520000,79769.98000000,79769.98000000,79769.98000000,79769.98000000,0.00000000
1788677580000,79769.98000000,79769.98000000,79769.98000000,79769.98000000,0.00000000
1788677640000,79773.95000000,79782.15000000,79773.95000000,79782.15000000,0.02507000
1788677700000,79796.87000000,79796.87000000,79796.87000000,79796.87000000,0.00009000
1788677760000,79796.87000000,79796.87000000,79796.87000000,79796.87000000,0.00000000
1788677820000,79796.87000000,79796.87000000,79796.87000000,79796.87000000,0.00000000
1788677880000,79796.87000000,79796.87000000,79796.87000000,79796.87000000,0.00000000
1788677940000,79759.17000000,79759.17000000,79759.17000000,79759.17000000,0.00009000
1788678000000,79794.19000000,79794.19000000,79794.19000000,79794.19000000,0.00060000
1788678060000,79794.19000000,79794.19000000,79794.19000000,79794.19000000,0.00187000
1788678120000,79805.20000000,79805.20000000,79805.20000000,79805.20000000,0.00014000
1788678180000,79805.20000000,79805.20000000,79805.20000000,79805.20000000,0.00000000
1788678240000,79805.20000000,79805.20000000,79805.20000000,79805.20000000,0.00004000
1788678300000,79805.20000000,79805.20000000,79805.20000000,79805.20000000,0.00000000
1788678360000,79805.20000000,79805.20000000,79805.20000000,79805.20000000,0.00032000
1788678420000,79805.20000000,79805.20000000,79805.20000000,79805.20000000,0.00000000
1788678480000,79805.19000000,79805.19000000,79744.96000000,79779.84000000,0.00802000
1788678540000,79757.31000000,79757.31000000,79757.31000000,79757.31000000,0.00160000
1788678600000,79757.31000000,79757.31000000,79757.31000000,79757.31000000,0.00000000
1788678660000,79765.91000000,79771.06000000,79729.38000000,79729.38000000,0.09125000
1788678720000,79708.05000000,79708.05000000,79708.05000000,79708.05000000,0.00002000
1788678780000,79700.00000000,79700.00000000,79578.23000000,79668.03000000,0.04745000
1788678840000,79650.99000000,79650.99000000,79650.99000000,79650.99000000,0.00004000
1788678900000,79675.24000000,79708.05000000,79675.24000000,79708.05000000,0.00676000
1788678960000,79708.05000000,79708.05000000,79708.05000000,79708.05000000,0.00000000
1788679020000,79708.05000000,79708.05000000,79708.05000000,79708.05000000,0.00000000
1788679080000,79802.32000000,79802.32000000,79802.32000000,79802.32000000,0.00442000
1788679140000,79798.16000000,79798.16000000,79798.16000000,79798.16000000,0.00153000
1788679200000,79798.16000000,79798.16000000,79798.16000000,79798.16000000,0.00000000
1788679260000,79806.32000000,79806.32000000,79806.32000000,79806.32000000,0.00148000
1788679320000,79806.32000000,79806.32000000,79806.32000000,79806.32000000,0.00000000
1788679380000,79845.08000000,79845.08000000,79845.08000000,79845.08000000,0.00034000
1788679440000,79836.12000000,79836.12000000,79835.43000000,79835.43000000,0.00640000
1788679500000,79835.43000000,79835.43000000,79835.43000000,79835.43000000,0.00000000
1788679560000,79811.76000000,79812.67000000,79810.53000000,79810.53000000,0.02973000
1788679620000,79810.53000000,79810.53000000,79810.53000000,79810.53000000,0.00000000
1788679680000,79810.53000000,79810.53000000,79810.53000000,79810.53000000,0.00000000
1788679740000,79810.53000000,79810.53000000,79810.53000000,79810.53000000,0.00000000
1788679800000,79820.22000000,79828.65000000,79820.22000000,79828.65000000,0.00125000
1788679860000,79828.65000000,79828.65000000,79828.65000000,79828.65000000,0.00000000
1788679920000,79828.65000000,79828.65000000,79828.65000000,79828.65000000,0.00000000
1788679980000,79828.65000000,79828.65000000,79828.65000000,79828.65000000,0.00000000
1788680040000,79829.01000000,79829.01000000,79817.18000000,79817.18000000,0.02133000
1788680100000,79817.18000000,79817.18000000,79817.18000000,79817.18000000,0.00000000
1788680160000,79789.93000000,79789.93000000,79789.93000000,79789.93000000,0.00006000
1788680220000,79789.93000000,79789.93000000,79789.93000000,79789.93000000,0.00000000
1788680280000,79801.85000000,79801.85000000,79801.85000000,79801.85000000,0.00006000
1788680340000,79801.85000000,79801.85000000,79801.85000000,79801.85000000,0.00000000
1788680400000,79801.85000000,79801.85000000,79801.85000000,79801.85000000,0.00000000
1788680460000,79831.50000000,79831.50000000,79831.50000000,79831.50000000,0.00548000
1788680520000,79843.45000000,79851.77000000,79843.45000000,79851.77000000,0.00014000
1788680580000,79846.78000000,79846.78000000,79846.78000000,79846.78000000,0.00006000
1788680640000,79846.78000000,79846.78000000,79846.78000000,79846.78000000,0.00000000
1788680700000,79823.42000000,79823.42000000,79823.42000000,79823.42000000,0.00002000
